"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",English
"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",English
"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",English
Very little music or anything to speak of.  ,English
The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,English
"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",English
Wasted two hours.  ,English
"Saw the movie today and thought it was a good effort, good messages for kids.  ",English
A bit predictable.  ,English
Loved the casting of Jimmy Buffet as the science teacher.  ,English
And those baby owls were adorable.  ,English
"The movie showed a lot of Florida at it's best, made it look very appealing.  ",English
The Songs Were The Best And The Muppets Were So Hilarious.  ,English
It Was So Cool.  ,English
"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",English
"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",English
"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",English
"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",English
"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.  ",English
 The structure of this film is easily the most tightly constructed in the history of cinema.,English
I can think of no other film where something vitally important occurs every other minute.  ,English
"In other words, the content level of this film is enough to easily fill a dozen other films.  ",English
How can anyone in their right mind ask for anything more from a movie than this?  ,English
"It's quite simply the highest, most superlative form of cinema imaginable.  ",English
"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  ",English
This short film certainly pulls no punches.  ,English
Graphics is far from the best part of the game.  ,English
This is the number one best TH game in the series.  ,English
It deserves strong love.  ,English
It is an insane game.  ,English
"There are massive levels, massive unlockable characters... it's just a massive game.  ",English
Waste your money on this game.  ,English
This is the kind of money that is wasted properly.  ,English
"Actually, the graphics were good at the time.  ",English
Today the graphics are crap.  ,English
"As they say in Canada, This is the fun game, aye.  ",English
This game rocks.  ,English
"Buy it, play it, enjoy it, love it.  ",English
It's PURE BRILLIANCE.  ,English
This was a flick doomed from its conception.  ,English
"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  ",English
I wasn't the least bit interested.  ,English
"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  ",English
But it's just not funny.  ,English
But even the talented Carrell can't save this.  ,English
"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  ",English
The story itself is just predictable and lazy.  ,English
"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  ",English
"But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  ",English
"The film succeeds despite, or perhaps because of, an obviously meagre budget.  ",English
"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  ",English
"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  ",English
It's hard not to fall head-over-heels in love with that girl.  ,English
"On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  ",English
"Long, whiny and pointless.  ",English
"But I recommend waiting for their future efforts, let this one go.  ",English
"Excellent cast, story line, performances.  ",English
Totally believable.  ,English
Anne Heche was utterly convincing.  ,English
Sam Shepard's portrayal of a gung ho Marine was sobering.  ,English
I sat riveted to the TV screen.  ,English
All in all I give this one a resounding 9 out of 10.  ,English
I do think Tom Hanks is a good actor.  ,English
I enjoyed reading this book to my children when they were little.  ,English
I was very disappointed in the movie.  ,English
One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  ,English
There is a totally unnecessary train/roller coaster scene.  ,English
There was absolutely no warmth or charm to these scenes or characters.  ,English
This movie totally grates on my nerves.  ,English
"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  ",English
"And, quite honestly, often its not very good.  ",English
"Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  ",English
"It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  ",English
There are some generally great things in it.  ,English
"I wouldn't say they're worth 2 hours of your time, though.  ",English
"The suspense builders were good, & just cross the line from G to PG.  ",English
"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  ",English
"If you want a movie that's not gross but gives you some chills, this is a great choice.  ",English
Alexander Nevsky is a great film.  ,English
"He is an amazing film artist, one of the most important whoever lived.  ",English
"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.  ",English
This if the first movie I've given a 10 to in years.  ,English
"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",English
"Overall, the film is interesting and thought-provoking.  ",English
"Plus, it was well-paced and suited its relatively short run time.  ",English
Give this one a look.  ,English
I gave it a 10  ,English
The Wind and the Lion is well written and superbly acted.  ,English
It is a true classic.  ,English
It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,English
Definitely worth checking out.  ,English
The problem was the script.  ,English
It was horrendous.  ,English
There was NOTHING believable about it at all.  ,English
The only suspense I was feeling was the frustration at just how retarded the girls were.  ,English
MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,English
The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,English
The cast of veteran actors are more than just a nostalgia trip.  ,English
Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,English
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",English
I don't think you will be disappointed.  ,English
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",English
"The acting was bad, the dialogs were extremely shallow and insincere.  ",English
"It was too predictable, even for a chick flick.  ",English
Too politically correct.  ,English
Very disappointing.  ,English
"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",English
"I love Lane, but I've never seen her in a movie this lousy.  ",English
An hour and a half I wish I could bring back.  ,English
But in terms of the writing it's very fresh and bold.  ,English
"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",English
The directing and the cinematography aren't quite as good.  ,English
"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",English
"), and sometimes it was so embarrassing that I had to look away.  ",English
The directing seems too pretentious.  ,English
"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",English
And generally the lines and plot is weaker than the average episode.  ,English
"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",English
"Some applause should be given to the ""prelude"" however.  ",English
I really liked that.  ,English
A great film by a great director.  ,English
The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,English
The music in the film is really nice too.  ,English
I'd advise anyone to go and see it.  ,English
Brilliant!  ,English
10/10  ,English
I liked this movie way too much.  ,English
My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,English
It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ,English
"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",English
"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",English
There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ,English
"This was a poor remake of ""My Best Friends Wedding"".  ",English
"All in all, a great disappointment.  ",English
"I cannot believe that the actors agreed to do this ""film"".  ",English
I could not stand to even watch it for very long for fear of losing I.Q.  ,English
I guess that nobody at the network that aired this dribble watched it before putting it on.  ,English
"IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  ",English
"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",English
"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",English
"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ",English
All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,English
"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",English
"You can't relate with them, hell you barely can understand them.  ",English
This is definitely a cult classic well worth viewing and sharing with others.  ,English
"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",English
The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ,English
"A truly, truly bad film.  ",English
"The acting is terrible, and the writing is worse.  ",English
The only possible way this movie could be redeemed would be as MST3K fodder.  ,English
I paid too much.  ,English
"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.  ",English
It was so BORING!  ,English
No plot whatsoever!  ,English
"Again, no plot at all.  ",English
Horrible!  ,English
Worst hour and a half of my life!Oh my gosh!  ,English
I had to walk out of the theatre for a few minutes just to get some relief!  ,English
I hate movies like that.  ,English
"Yeah, the movie pretty much sucked.  ",English
THERE IS NO PLOT OR STORYLINE!!  ,English
"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",English
Awful.  ,English
I don't think I've ever gone to a movie and disliked it as much.  ,English
It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ,English
NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,English
"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",English
"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",English
"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",English
Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,English
I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ,English
This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,English
I certainly do not mean this distinction in a good way.  ,English
I mean this in a terrible way.  ,English
This film has no redeeming features.  ,English
Everything is appalling.  ,English
"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  ",English
The story is beyond stupid.  ,English
The script iswas there a script?  ,English
The kids are annoying.  ,English
The lead man is charisma-free.  ,English
"Utterly without merit on any level, this is akin to torture.  ",English
I'll even say it again  this is torture.  ,English
Maybe there would be a reasonable explanation for this atrocity.  ,English
Not a pleasant voyage of self-discovery.  ,English
Highly unrecommended.  ,English
"If this premise sound stupid, that's because it is.  ",English
"Yes, it's that bad.  ",English
Nothing at all to recommend.  ,English
An excellent performance from Ms.  ,English
"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  ",English
It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,English
"This movie suffered because of the writing, it needed more suspense.  ",English
There were too many close ups.  ,English
But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,English
But this movie is definitely a below average rent.  ,English
"You'll love it!  	1",English
This movie is BAD.  ,English
So bad.  ,English
The film is way too long.  ,English
This is definitely one of the bad ones.  ,English
The movie I received was a great quality film for it's age.  ,English
John Wayne did an incredible job for being so young in the movie industry.  ,English
His on screen presence shined thought even though there were other senior actors on the screen with him.  ,English
I think that it is a must see older John Wayne film.  ,English
I really don't see how anyone could enjoy this movie.  ,English
I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  ,English
"It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  ",English
"Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  ",English
Jamie Foxx absolutely IS Ray Charles.  ,English
His performance is simply genius.  ,English
"He owns the film, just as Spacek owned ""Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",English
" In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.  	1",English
Ray Charles is legendary.  ,English
"Ray Charles' life provided excellent biographical material for the film, which goes well beyond being just another movie about a musician.  ",English
Hitchcock is a great director.  ,English
Ironically I mostly find his films a total waste of time to watch.  ,English
"Secondly, Hitchcock pretty much perfected the thriller and chase movie.  ",English
It's this pandering to the audience that sabotages most of his films.  ,English
Hence the whole story lacks a certain energy.  ,English
"The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.  ",English
There are the usual Hitchcock logic flaws.  ,English
Mishima is extremely uninteresting.  ,English
"This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  ",English
The flat reenactments don't hold your attention because they are emotionally adrift and stagy.  ,English
"And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  ",English
"He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  ",English
"Schrader has made a resume full of lousy, amateurish films.  ",English
"When I first watched this movie, in the 80s, I loved it.  ",English
"I was totally fascinated by the music, the dancing... everything.  ",English
"However, I recently watched the whole thing again on DVD, and I was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.  ",English
"I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  ",English
The character developments also lacked in depth.  ,English
"Woa, talk about awful.  ",English
Do not waste your time.  ,English
It was just too horrible.  ,English
"The worst, sappiest dialogue... I could go on and on.  ",English
But what really made it unwatchable was the direction.  ,English
The poor actors.  ,English
You can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action.  ,English
If you check the director's filmography on this site you will see why this film didn't have a chance.  ,English
This would not even be good as a made for TV flick.  ,English
"If good intentions made a film great, then this film might be one of the greatest films ever made.  ",English
"The film has great actors, a master director, a significant theme--at least a would-be significant theme, undertone of fifties existential world-weariness, aerial scenes that ought to have thrilled both senses and imagination, and characters about which one might deeply care.  ",English
"Regrettably, the film fails.  ",English
"The movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.  ",English
No actress has been worse used that June Allison in this movie.  ,English
"Yet, I enjoy watching it.  ",English
"Unfortunately, this is a bad movie that is just plain bad.  ",English
"Bad script, bad direction and horrible acting make this one plain bad!  ",English
The dialogue sucked.  ,English
The cinematography-if it can be called that-sucked.  ,English
The soundtrack sucked.  ,English
The acting sucked.  ,English
The concert sequences just sucked.  ,English
That was nice.  ,English
That was funny.  ,English
It was so funny.  ,English
"Overall, this movie was cheap trash.  ",English
"But this movie is not funny, considering the ridiculousness of it.  ",English
I came out of it feeling angry.  ,English
"***SPOILERS*** Whatever else can (or can't) be said about it, SURFACE is superbly crafted.  ",English
The cinematography is simply stunning (to say the least) and the fx are nothing if not state-of-the-art.  ,English
"Conceptually, the show offers a little bit of everything- and for just about everybody (parents, kids, fantasy and/or fx fans).  ",English
"And there wasn't a single sour note struck acting-wise, either; some surprisingly solid casting, here.  ",English
"All things considered, a job very well done.  ",English
Thanks good a movie like this was done and released.  ,English
